intrange,fname,chisqr,Q1,sigma,gain,pv_r,pv_r_hist,pe_res_orig,pe_res,n_pe
50,../../SinglePEMeasurements/HAM_KM56213_1050V_Limited.root,1.11544,0.789275,0.26887,4557960,2.37636,8,0.340655,34.0655,0.149982
50,../../SinglePEMeasurements/HAM_KM56213(New)_1000V.root,1.38545,0.544132,0.247206,3046280,1.20038,1.32937,0.454312,45.4312,0.212987
50,../../SinglePEMeasurements/HAM_KM56213(New)_1025V.root,1.38609,0.6595,0.28137,3761060,1.50436,1.70163,0.426642,42.6642,0.211217
50,../../SinglePEMeasurements/HAM_KM56213(New)_1050V.root,1.44813,0.789801,0.317259,4572300,1.89846,2.0605,0.401695,40.1695,0.207042
50,../../SinglePEMeasurements/HAM_KM56213(New)_1075V.root,1.60144,0.944199,0.354816,5529320,2.34995,2.68017,0.375785,37.5785,0.196526
50,../../SinglePEMeasurements/HAM_KM56213(New)_1100V.root,1.94632,1.11347,0.397697,6580630,2.76597,3.09449,0.357168,35.7168,0.190608
50,../../SinglePEMeasurements/HAM_KM56213(New)_1125V.root,2.15133,1.31363,0.448651,7826500,3.09883,3.50529,0.341536,34.1536,0.186952
50,../../SinglePEMeasurements/HAM_KM56213(New)_1150V.root,2.34679,1.53786,0.511112,9234600,3.3898,3.76571,0.332353,33.2353,0.186878
50,../../SinglePEMeasurements/HAM_KM56213(New)_1200V.root,2.19468,2.02322,0.708165,12280000,3.68768,4.07338,0.350018,35.0018,0.210059
50,../../SinglePEMeasurements/HAM_KM56213(New)_1250V.root,3.54946,2.70538,0.833876,16529200,3.5603,4.11077,0.308229,30.8229,0.18262
50,../../SinglePEMeasurements/HAM_KM56213(New)_1300V.root,4.93666,3.41067,1.18212,20947100,4.20789,4.4238,0.346595,34.6595,0.209059
50,../../SinglePEMeasurements/HAM_KM56213(New)_900V.root,1.438,0.208917,0.169844,976096,1,1.08163,0.812974,81.2974,0.26497
50,../../SinglePEMeasurements/HAM_KM56213(New)_950V.root,1.51593,0.357747,0.201584,1883590,1,1.30328,0.563483,56.3483,0.229367
50,../../SinglePEMeasurements/NNVT_PN2305-1100_1270V_Limited.root,0.899064,0.934979,0.304083,5516960,3.78089,18,0.32523,32.523,0.172486
50,../../SinglePEMeasurements/NNVT_PN2305-1100(New)_1150V.root,2.09472,0.459323,0.202673,2554240,1.08431,1.22289,0.441242,44.1242,0.209555
50,../../SinglePEMeasurements/NNVT_PN2305-1100(New)_1200V.root,1.33172,0.627202,0.247018,3576090,1.60738,1.84885,0.393841,39.3841,0.19687
50,../../SinglePEMeasurements/NNVT_PN2305-1100(New)_1201V.root,1.31255,0.624429,0.247082,3552380,1.60255,1.82855,0.395692,39.5692,0.207665
50,../../SinglePEMeasurements/NNVT_PN2305-1100(New)_1225V.root,1.50411,0.730165,0.278262,4238360,2.01898,2.24563,0.381095,38.1095,0.209764
50,../../SinglePEMeasurements/NNVT_PN2305-1100(New)_1250V.root,1.36937,0.850826,0.301803,4973130,2.37639,2.71106,0.354718,35.4718,0.196393
50,../../SinglePEMeasurements/NNVT_PN2305-1100(New)_1260V.root,1.47151,0.908947,0.314716,5359330,2.56691,2.76035,0.346243,34.6243,0.198222
50,../../SinglePEMeasurements/NNVT_PN2305-1100(New)_1270V.root,1.62492,0.956995,0.33029,5659690,2.73139,2.89798,0.345132,34.5132,0.197722
50,../../SinglePEMeasurements/NNVT_PN2305-1100(New)_1273V.root,1.78432,0.981163,0.334993,5754860,2.75026,2.93622,0.341424,34.1424,0.198458
50,../../SinglePEMeasurements/NNVT_PN2305-1100(New)_1280V.root,1.68128,1.01185,0.343299,5998860,2.83596,3.18233,0.33928,33.928,0.192475
50,../../SinglePEMeasurements/NNVT_PN2305-1100(New)_1290V.root,1.46123,1.07381,0.35794,6386580,2.93854,3.26588,0.333335,33.3335,0.192472
50,../../SinglePEMeasurements/NNVT_PN2305-1100(New)_1300V.root,1.59641,1.13287,0.37037,6739820,3.11205,3.32706,0.326932,32.6932,0.189715
